Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
GJ Delany (IRE),2019-2022,56,50,8,802,89*,19.09,613,130.83,0,3,3,65,32
P Khadka (NEPAL),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
Babar Hayat (HKG),2014-2022,34,34,6,799,122,28.53,633,126.22,1,4,4,58,38
W Barresi (NED),2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21
SO Hetmyer (WI),2018-2022,50,42,4,797,81*,20.97,673,118.42,0,4,3,53,41
IA De Silva (BUL),2020-2022,35,34,2,795,100*,24.84,690,115.21,1,4,3,72,37
GH Dockrell (IRE),2010-2022,112,67,27,795,58*,19.87,615,129.26,0,1,7,58,27
Razmal Shigiwal (Aut),2019-2022,29,26,5,792,95*,37.71,549,144.26,0,5,2,60,34
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26
Zeeshan Maqsood (OMA),2015-2022,41,34,6,770,76*,27.5,691,111.43,0,3,2,86,20
Usman Ghani (AFG),2015-2022,33,32,3,764,73,26.34,707,108.06,0,4,0,74,21
MS Chapman (HKG/NZ),2014-2022,40,35,4,761,83,24.54,607,125.37,0,3,1,63,27
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137,0,4,9,68,31
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34
TL Seifert (NZ),2018-2021,40,37,5,753,84*,23.53,580,129.82,0,5,2,63,37
